,var1,var2,distance,mutual_information
570,X34,X9,5,0.0
571,X34,X10,4,0.0014327125650789169
572,X34,X11,3,3.2933919880770044e-06
573,X34,X12,8,0.0
574,X34,X13,3,3.4196474496922774e-05
575,X34,X14,5,1.0300333678326473e-16
576,X34,X15,4,0.0
577,X34,X16,4,0.0006380446804794843
578,X34,X17,3,2.135085607116974e-05
579,X34,X18,6,0.0
580,X34,X19,2,0.011057521925167523
581,X34,X20,7,0.0
582,X34,X21,3,0.0013483896425025357
583,X34,X22,3,4.056081150228467e-06
584,X34,X23,3,0.0026747361057032383
585,X34,X24,5,1.219732483291174e-08
586,X34,X25,2,0.00020434448265898696
587,X34,X26,8,0.0
588,X34,X27,4,1.191451690492405e-06
589,X34,X28,4,8.532376511584286e-06
590,X34,X29,5,0.0008153181624835967
591,X34,X30,4,0.0
592,X34,X31,-1,0.0
593,X34,X32,6,0.0
594,X34,X33,1,0.21292615390383324
595,X35,X0,8,-9.699812426239705e-18
596,X35,X1,4,3.999018822448022e-05
597,X35,X2,3,6.162642127270634e-05
598,X35,X3,4,0.0
599,X35,X4,6,4.574358102001693e-09
600,X35,X5,7,9.160972536725116e-10
601,X35,X6,5,0.0
602,X35,X7,1,0.005064407909944177
603,X35,X8,-1,0.0
604,X35,X9,6,0.0
605,X35,X10,6,2.2681303624608293e-09
606,X35,X11,7,0.0
607,X35,X12,3,0.0
608,X35,X13,4,1.4641685087520687e-09
609,X35,X14,6,0.0
610,X35,X15,6,0.0
611,X35,X16,4,1.765961308104226e-05
612,X35,X17,2,0.16000043553766075
613,X35,X18,7,0.0
614,X35,X19,4,1.214622029062991e-05
615,X35,X20,7,0.0
616,X35,X21,4,5.7185597873485165e-08
617,X35,X22,5,1.0195569020879196e-08
618,X35,X23,4,1.8529069039838718e-08
619,X35,X24,5,3.3551399370198686e-10
620,X35,X25,3,0.01706023756931288
621,X35,X26,3,0.0
622,X35,X27,5,1.0628935491575556e-11
623,X35,X28,1,0.3853410260367985
624,X35,X29,4,0.0
625,X35,X30,6,0.0
626,X35,X31,-1,0.0
627,X35,X32,6,0.0
628,X35,X33,5,5.830619955257558e-07
629,X35,X34,5,4.580085980099248e-06
630,X36,X0,10,2.268516449004369e-17
631,X36,X1,6,2.930918554338075e-07
632,X36,X2,5,4.5348755085780374e-07
633,X36,X3,6,0.0
634,X36,X4,8,3.3639561967343626e-11
635,X36,X5,9,7.39976961826463e-12
636,X36,X6,7,0.0
637,X36,X7,3,3.875825369526565e-05
638,X36,X8,-1,0.0
639,X36,X9,8,0.0
640,X36,X10,8,1.8320316634008293e-11
641,X36,X11,9,0.0
642,X36,X12,1,0.012441080010478826
643,X36,X13,6,1.18269734526588e-11
644,X36,X14,8,0.0
645,X36,X15,8,0.0
646,X36,X16,6,1.299226898401464e-07
647,X36,X17,4,0.0010240503059549904
648,X36,X18,9,0.0
649,X36,X19,6,8.905219656231081e-08
650,X36,X20,9,0.0
651,X36,X21,6,4.6191408369823734e-10
652,X36,X22,7,7.488967868671073e-11
653,X36,X23,6,1.496623617353226e-10
654,X36,X24,7,2.4624280520809357e-12
655,X36,X25,5,0.00012189798634643632
656,X36,X26,5,0.0
657,X36,X27,7,7.818568513834081e-14
658,X36,X28,3,0.002267650616211484
659,X36,X29,6,0.0
660,X36,X30,8,0.0
661,X36,X31,-1,0.0
662,X36,X32,8,0.0
663,X36,X33,7,4.270941493295521e-09
664,X36,X34,7,3.3694526099142704e-08
665,X36,X35,2,0.003904937759200506
666,X37,X0,-1,0.0
667,X37,X1,-1,0.0
668,X37,X2,-1,0.0
669,X37,X3,-1,0.0
670,X37,X4,-1,0.0
671,X37,X5,-1,0.0
672,X37,X6,-1,0.0
673,X37,X7,-1,0.0
674,X37,X8,-1,0.0
675,X37,X9,-1,0.0
676,X37,X10,-1,0.0
677,X37,X11,-1,0.0
678,X37,X12,-1,0.0
679,X37,X13,-1,0.0
680,X37,X14,-1,0.0
681,X37,X15,-1,0.0
682,X37,X16,-1,0.0
683,X37,X17,-1,0.0
684,X37,X18,-1,0.0
685,X37,X19,-1,0.0
686,X37,X20,-1,0.0
687,X37,X21,-1,0.0
688,X37,X22,-1,0.0
689,X37,X23,-1,0.0
690,X37,X24,-1,0.0
691,X37,X25,-1,0.0
692,X37,X26,-1,0.0
693,X37,X27,-1,0.0
694,X37,X28,-1,0.0
695,X37,X29,-1,0.0
696,X37,X30,-1,0.0
697,X37,X31,-1,0.0
698,X37,X32,-1,0.0
699,X37,X33,-1,0.0
700,X37,X34,-1,0.0
701,X37,X35,-1,0.0
702,X37,X36,-1,0.0
703,X38,X0,-1,0.0
704,X38,X1,-1,0.0
705,X38,X2,-1,0.0
706,X38,X3,-1,0.0
707,X38,X4,-1,0.0
708,X38,X5,-1,0.0
709,X38,X6,-1,0.0
710,X38,X7,-1,0.0
711,X38,X8,-1,0.0
712,X38,X9,-1,0.0
713,X38,X10,-1,0.0
714,X38,X11,-1,0.0
715,X38,X12,-1,0.0
716,X38,X13,-1,0.0
717,X38,X14,-1,0.0
718,X38,X15,-1,0.0
719,X38,X16,-1,0.0
720,X38,X17,-1,0.0
721,X38,X18,-1,0.0
722,X38,X19,-1,0.0
723,X38,X20,-1,0.0
724,X38,X21,-1,0.0
725,X38,X22,-1,0.0
726,X38,X23,-1,0.0
727,X38,X24,-1,0.0
728,X38,X25,-1,0.0
729,X38,X26,-1,0.0
730,X38,X27,-1,0.0
731,X38,X28,-1,0.0
732,X38,X29,-1,0.0
733,X38,X30,-1,0.0
734,X38,X31,-1,0.0
735,X38,X32,-1,0.0
736,X38,X33,-1,0.0
737,X38,X34,-1,0.0
738,X38,X35,-1,0.0
739,X38,X36,-1,0.0
740,X38,X37,-1,0.0
741,X39,X0,5,5.308401377386168e-15
742,X39,X1,5,0.0
743,X39,X2,3,0.0
744,X39,X3,5,0.0
745,X39,X4,5,2.5955703720754083e-17
746,X39,X5,5,2.923919799418953e-15
747,X39,X6,6,0.0
748,X39,X7,5,0.0
749,X39,X8,-1,0.0
750,X39,X9,7,0.0
751,X39,X10,4,0.0
752,X39,X11,5,0.0
753,X39,X12,9,0.0
754,X39,X13,6,0.0
755,X39,X14,1,5.1724884010090466e-05
756,X39,X15,2,0.0
757,X39,X16,4,0.0
758,X39,X17,7,0.0
759,X39,X18,8,0.0
760,X39,X19,2,-1.3505200676481135e-17
761,X39,X20,6,0.0
762,X39,X21,4,2.9464193141771627e-13
763,X39,X22,6,0.0
764,X39,X23,4,0.0
765,X39,X24,4,0.0
766,X39,X25,6,0.0
767,X39,X26,9,0.0
768,X39,X27,4,0.0
769,X39,X28,7,0.0
770,X39,X29,5,0.0
771,X39,X30,7,0.0
772,X39,X31,-1,0.0
773,X39,X32,5,0.0
774,X39,X33,3,4.521429741646536e-18
775,X39,X34,4,6.893869984629058e-17
776,X39,X35,6,0.0
777,X39,X36,8,0.0
778,X39,X37,-1,0.0
779,X39,X38,-1,0.0
780,X40,X0,8,1.0167450968925653e-14
781,X40,X1,4,1.976646944040197e-05
782,X40,X2,3,0.09683855951735909
783,X40,X3,5,0.0
784,X40,X4,6,4.7526847422735817e-07
785,X40,X5,7,7.24704554943569e-06
786,X40,X6,6,0.0
787,X40,X7,3,0.0
788,X40,X8,-1,0.0
789,X40,X9,7,0.0
790,X40,X10,6,1.791932578733735e-05
791,X40,X11,7,0.0
792,X40,X12,7,0.0
793,X40,X13,4,1.1806155431898257e-05
794,X40,X14,6,0.0
795,X40,X15,6,0.0
796,X40,X16,4,0.026280330882496015
797,X40,X17,6,0.0
798,X40,X18,8,0.0
799,X40,X19,4,0.022593614174321548
800,X40,X20,7,0.0
801,X40,X21,4,0.00045594384496023925
802,X40,X22,5,5.067004405503805e-09
803,X40,X23,4,0.00014528985643644417
804,X40,X24,5,6.206554175982638e-07
805,X40,X25,5,0.0
806,X40,X26,7,0.0
807,X40,X27,5,1.966361706078271e-08
808,X40,X28,5,0.0
809,X40,X29,2,0.06581653056764818
810,X40,X30,6,0.0
811,X40,X31,-1,0.0
812,X40,X32,6,0.0
813,X40,X33,5,0.0011882699957091606
814,X40,X34,5,0.0004826257203428509
815,X40,X35,4,0.0
816,X40,X36,6,0.0
817,X40,X37,-1,0.0
818,X40,X38,-1,0.0
